一 自然數的開始，」大寫作「壹」，阿拉伯數字作「1」，姓，如明代有一炫宗，二一四部首之一，單個，相同、一致，專注的，全、滿、整，每、各，一次，另外的，統一，才、剛剛，偶然，表示加強的動作或突然的現象，概括，每每、每逢，放在二疊字動詞之間，表行為是不費力或嘗試性的，事物的某方面，竟、乃，表示事出意外，皆，表示程度，加強語氣，或，（「一」字單用或在一詞一句的末尾，念陰平聲；在去聲字前，念陽平聲；在陰平、  陽平、上聲之前，念去聲，)，一
一一 逐一、一個接一個，逐一，，一一
花 被子植物的生殖器官，由許多變形的葉集生而成，包括花萼、花冠、花蕊、花托，可供人觀賞，形狀像花的物體，比喻美女，姓，如唐代有花敬定，有花的，有花紋的、雜色的，式樣、種類繁多的，虛假的、巧妙的，模糊不清，人心性不定、好玩樂稱為「花」，開花，耗費，，花
花卉 泛指花草，花草，國畫中專門以花草為繪畫題材的類別，，花卉
花園 有花木亭池，可供遊憩的園子，花圃，，花園
花心 風流；形容對愛情不專一，，花心
花朵 花，，花朵
花樣 式樣、名色，款式　4.名目,技倆，繡花的樣本，款式　4.名目,技倆，如花朵一般的，手段、詭計，，花樣
花瓣 構成花冠的各瓣，稱為「花瓣」，其構造與葉子相似，但細胞中含有各種不同的色素，故有不同的顏色，連合者稱為「合瓣」，如牽牛花；分離者稱為「離瓣」，如玉蘭花，，花瓣
花瓶 蓄水養花的瓶子，譏稱妝扮漂亮而不具真正能力，也不做實際工作的女人，，花瓶
花生 落花生的簡稱，參見「落花生」條，，花生
花盆 種花的盆子，，花盆
花紋 條紋或圖形，斑紋，，花紋
花色 種類，圖紋和顏色，，花色
花草 花與草的合稱，花卉，比喻女子，，花草
花費 消費、耗用，破費,耗費,花消，所消費的錢財，，花費
芽 植物初生的苗，形狀像芽的東西，姓，如春秋時鄒有芽亶，發芽，開始、發生，，芽
苛刻 刻薄嚴厲，冷酷,刻毒，，苛刻
苛責 嚴苛的責備，，苛責
若 一種香草，姓，如漢代有若章，順從，及、比得上，奈，如果、假如，表示假設，至於，表示另提一件事，或、或者，表示選擇，乃、才，似、好像，你、你的，如此、這樣，參見「般若」、「蘭若」等條，，若
若干 大約計算之詞，即多少、幾許的意思，幾多,幾何,幾許，複姓，，若干
苦 五味之一，似黃蓮、膽汁的味道，與「甘」、「甜」相反，難以忍受的境況，受累、為難，磨鍊，患、怕，有苦味的，艱辛、難受，愁悶，盡心盡力的，，苦
苦工 只出勞力，不需技術方面的工作，從事勞力工作的人，，苦工
苦惱 憂愁煩惱，煩悶,煩惱,苦悶,憂愁,鬱悶，，苦惱
苦衷 難以啟齒的實情，心事,隱痛,隱衷，，苦衷
苦難 痛苦和艱困，魔難,劫難,災難，，苦難
英俊 才能出眾的人，稱人容貌俊秀有精神，，英俊
英勇 勇敢出眾，勇敢，，英勇
英文 英國語文，，英文
英語 英、美等民族的語言，屬於印歐語系，在世界各大洲廣泛使用，分布在英國、美國、加拿大、澳大利亞等地，文字採用拉丁字母，使用人口在七億以上，，英語
英雄 才能超群出眾的人，豪傑,英豪，，英雄
茂密 茂盛濃密，茂盛，，茂密
茫然 無所知的樣子，悵惘若失的樣子，廣遠的樣子，，茫然
茶 植物名，山茶科茶屬，多年生常綠灌木或喬木，單葉互生，長橢圓形，葉緣有鋸齒，秋冬間開白花，果實為蒴果，適應性極強，自北緯三十八度至南緯三十度間均可栽種，嫩葉可焙製成各種茶，種子可榨油供食用，是我國重要經濟作物之一，用茶葉沏成或煮成的飲料，泛稱某種飲料，，茶
茶具 烹茶、飲茶所用的器具，，茶具
茶會 供應茶點的集會，一種北平香會，設茶供人飲用，商人群聚茶館中談交易稱為「茶會」，，茶會
茶葉 茶的嫩葉，焙乾後可用來沖泡飲用，種類繁多，分類方法各異，一般依外觀顏色分為綠茶、白茶、黃茶、青茶、紅茶和黑茶六種；依產茶季節可分為春茶、夏茶、秋茶和冬茶；依焙火程度分為生茶、半熟茶和熟茶；依製造程序可分為毛茶和精茶，，茶葉
茶館 供人飲茶的店鋪，，茶館
草 草本植物的總稱，田野、荒野，一種書法字體，底稿、文稿，姓，如漢代有草中，馬虎、粗率、不細膩，初步的、尚未決定的，用草編成的，用草搭蓋的，起稿、擬訂，草寫，草率，，草
草原 雨量較少，僅生長耐旱短草的平原，多位於熱帶及沙漠之間，泛指長滿青草的原野，，草原
草叢 群生於一處的草，，草叢
草地 長滿青草的地方，閩南方言，指鄉下、農村，，草地
草案 尚在研議草擬中，未經有關單位通過、發布的法律案、規章、規則、辦法、準則等，，草案
草率 做事隨便，不仔細，馬虎,潦草,輕率，，草率
草藥 取於植物界的中藥材，，草藥
荒唐 誇大不實，荒誕，言行乖謬、不合禮法，荒誕，慌張，，荒唐
荒誕 荒唐、虛妄，怪誕,荒唐,神怪,妄誕，，荒誕
莊嚴 端莊肅穆，莊重,穩重，裝飾、裝束整齊，，莊嚴
莫非 無不、都是，難道，表示揣測的疑問詞，難道，，莫非
菜 蔬類的總稱，餚饌的總稱，差勁、不出色，，菜
菜單 購菜的清單，開列菜色名稱的單子，，菜單
菠菜 植物名，藜科菠薐屬，二年生草本植物，葉略呈三角形，根部紅色，葉嫩綠，有甜味，含有豐富的鐵質，可供作蔬菜食用，，菠菜
華人 泛稱旅居國外的中國人，，華人
華僑 僑居中華民國領域外，具中華民國國籍的人民，，華僑
華文 中國的文字，漢文,中文，華麗的紋飾，，華文
華裔 舊指華夏邊陲地區，我國僑居海外人士的後代，，華裔
華語 中國的語言，，華語
菸 植物名，茄科菸草屬，一年生草本，葉大，互生，橢圓形而尖，夏日開淡紅色花，排列為短總狀花序，果實蒴果，種子細小，葉為製香菸的材料，菸草的製成品，枯萎，，菸
萎縮 因病變、機能減退而造成生物體衰弱，衰退，，萎縮
萬 數目字，千的十倍，眾多的，極、非常、絕對，，萬
萬一 萬分之一，形容極微小，可能性極小的意外事件，表示假設可能性極小的連結詞，，萬一
萬事 一切事情，，萬事
萬分 極甚、非常，非常,極度,十分，，萬分
萬歲 萬年，臣民對帝王的尊稱，君王死亡的諱稱，祝福人長壽的頌詞，，萬歲
萬物 宇宙間的一切物類，，萬物
萬萬 形容數目很多，千萬，極甚、絕對，遠勝，，萬萬
落 脫落、凋墜，掉下、降低，陷入、掉入，除去，掉在後面，衰敗，停留，留下，得到，歸屬，掉下的、凋零的，餘留的，稀疏、冷清的，伶俐，人所聚居的地方，停留、停頓的地方，量詞，計算成堆成疊物品的單位，姓，如漢代有落閎，遺漏、忘記，掉在後面、跟不上，參見「落子」、「蓮花落」等條，降落，(一)之又音，，落
落伍 比喻事物、思想行動跟不上時代潮流，行動緩慢，跟不上隊伍，掉隊,落後，，落伍
落實 踏實可靠，，落實
落後 居他人之後，落伍，發展的程度停留在較低的水準，怠慢、拋棄，後來、最後，，落後
落得 得到某種結果、境遇，」也作「落的」，樂得，」也作「落的」，，落得
落選 未獲錄取，落第，，落選
落難 遭遇天然或人為的災禍而陷入困境，流落，，落難
落魄 窮困潦倒而不得志，」也作「落拓」，坎坷，率性豪放、不受拘束，，落魄
葉 植物的一部分，生於枝幹上，專營呼吸、蒸發等作用，部分植物的葉子則因變態而具有貯藏、保護或捕食的功能，像葉片的東西，世代、時期，書頁，比喻輕飄如葉的東西，(2) 計算書籍文件面數的單位，同「頁」，姓，如清代有葉名琛，地名，春秋時楚國的邑地，故址約在今大陸地區河南省葉縣南方三十里，，葉
葉子 植物之葉的通稱，稱賭博用的紙牌，稱書頁，稱金箔為「葉子」，葉子菸的簡稱，參見「葉子菸」條，，葉子
著 顯露、表現，標舉、標示，撰述、寫作，記載，文章、作品的通稱，《詩經．齊風》的篇名，共三章，」或亦指嫁者即事之詩，」著，與宁通，指門屏之間，而，語尾助詞，無義，充耳，以玉塞耳，以素，繫以素絲，尚，加也，瓊華，美玉，顯明，表示狀態的持續或已有了結果，接觸，陷入、中計，恰好、得當，穿上，附、接觸，及、到，開花或結果，命令、差使，下棋行子，處事的方法、計策，事情的歸宿，表示動作正持續進行，表示動作的存有，表示某種情形的程度，表示命令或囑咐的語氣，計策、方法，放置，受，發生，北方方言，指意見相合、同意，，著
著作 撰述寫作，作品，大作，，著作
著名 名聲響亮，馳名，，著名
著急 焦慮、急躁，發急,恐慌,慌張,焦慮,焦急,心焦，，著急
著想 打算、設想，設想，，著想
著手 開始作，動手,下手，下手、動手，遭受算計，抓到機會，得手，，著手
著眼 考慮、觀察，，著眼
著重 注重，側重某一方面，偏重,注重,重視,側重，沉重，，著重
葡萄 植物名，葡萄科葡萄屬，落葉大藤本，葉掌狀分裂，具長柄，互生，心狀圓形，花色黃綠，呈圓錐形，果實也稱為「葡萄」，球形或橢圓形，呈紫或淡綠色，酸甜多汁，是常見水果，可釀酒，，葡萄
葬禮 埋葬死者的禮儀，，葬禮
蒙 覆蓋、遮著，欺騙、瞞騙，冒，受到、承受，表示感敬，遭受、遭遇，昏昧無知的心智，孩童，《易經》卦名，六十四卦之一，坎（☵）下艮（☶）上，進退兩難，不知所適之象，蒙古的簡稱，姓，如秦朝有蒙恬，，蒙
蒸 熱氣上升，利用水蒸汽的熱力把食物煮熟，，蒸
蒸氣 液體遇熱蒸發或沸騰所產生的氣體，，蒸氣
蒸發 液體分子脫離液體表面轉化成氣體的現象，，蒸發
蒼白 白而微青的顏色，形容人枯槁沒有血色，，蒼白
蒼蠅 動物名，節肢動物門雙翅目，體似家蠅而蒼黑，頭部黑，複眼紅色，胸背有縱紋四條，體側有粗硬毛，腹藍分四環節，多毛，腳密生粗毛，後肢特長，夏時最多，紛集於腐臭物體上，，蒼蠅
蓋 茅草，有覆蓋功能的東西，覆蓋、遮蔽，加上去、加在上面，超越，搭建、構築，吹牛、胡扯，大概，發語詞，提起下文，無義，乃是、實在是，豈、為何，何不，地名，戰國時齊邑，漢置蓋縣，北齊廢，故城約位於今大陸地區山東省沂水縣西北，姓，如漢代有蓋寬饒，，蓋
蓋子 器物上的覆遮物，動物背上的甲殼，，蓋子
蓋章 蓋圖章，」也作「蓋戮兒」，，蓋章
蓬勃 旺盛繁榮的樣子，煥發,興盛，，蓬勃
蔓延 向四面八方擴展延伸，伸展﹑伸張，，蔓延
蔬菜 一切可供食用的青菜瓜果，，蔬菜
蕭灑 形容人清高絕俗、灑脫不羈，」也作「瀟灑」，，蕭灑
薄 不厚的，稀疏的，貧瘠、不肥沃，微不足道，卑賤，不敦厚，不尊重，草木叢生的地方，簾子，姓，如明代有薄珏，減輕、減損，迫近、接近，附著，侵入，鄙視，輕微的，參見「薄荷」條，1的語音，，薄
薄弱 柔弱，單薄﹑虛弱﹑衰弱﹑軟弱﹑脆弱﹑微弱，，薄弱
薪水 採薪和汲水，指炊爨之事，工作的酬勞，」  也稱為「薪俸」、「薪給」、「薪金」、「薪餉」、「薪資」，，薪水
藉口 借用別人的話，作為自己論說的依據，以某事為理由，」也作「借口」，假託的理由，」也作「借口」，藉詞,設詞，，藉口
藍 深青色，像晴空般的顏色，植物名，蓼科蓼屬，一年生草本，葉互生，為卵形或橢圓形，可作染料，姓，如戰國時有藍諸，藍色的，參見「藍縷」條，，藍
藍色 像天氣晴朗時天空的顏色，，藍色
藏 儲存，隱匿，如:「躲藏」、「藏拙」、「藏汙納垢」，懷抱，姓，如南朝宋有藏凝之，儲存東西的地方，內臟，西藏的簡稱，邊疆民族，主要分布於大陸地區西藏、西康、青海一帶，舊稱為「吐蕃」，佛教、道教經典的總稱，，藏
藏匿 隱藏，不使發現，隱藏，，藏匿
藝術 對自然物及科學，凡人所製作之一切具有審美價值的事物，如詩詞歌賦、戲曲、樂譜、繪畫、雕刻、建築等，統稱為「藝術」，，藝術
藥 用來治病的物質，某些能發生特定效用的化學物質，芍藥的簡稱，參見「芍藥」條，姓，如晉代有藥冲，治療，用毒物殺害，，藥
藥品 能治病的物質，也作「藥物」，藥劑，，藥品
藥房 出售藥品的店鋪，，藥房
藥方 醫生診治時所開病象、病名、治法及所用藥味與分量的帖單，方劑,方子,藥劑，，藥方
藥水 治病的藥物溶液，，藥水
藥物 能治療疾病的物質，」也作「藥品」，，藥物
藩籬 用柴竹編成屏蔽的圍牆，引申為保護防衛，範圍、邊界，」也作「籓籬」，，藩籬
蘋果 植物名，薔薇科蘋果屬，落葉小喬木，葉卵形或橢圓形，先端尖或短，邊緣有細銳鋸齒，花淡紅色，萼有細毛，果實也稱為「蘋果」，近於圓形，顏色繁多，有黃色、紅色、青綠色等，味略酸甜，果梗常較果徑短，可供食用，亦可造酒等，，蘋果
虎 動物名，哺乳類食肉目貓科，形似貓，全身黃褐色，具黑色條紋，性凶猛，獨居，善游泳，於夜間狩獵，以鹿、羊、豬等為食，姓，如漢代有虎旗，威武勇猛，參見「馬馬虎虎」條，，虎
虐待 以苛刻殘暴的態度對待他人或動物，凌虐,殘虐，，虐待
虔誠 恭敬有誠心，」也作「虔心」，虔敬，，虔誠
處 地方、場所，事物的某一部分，機關團體的組織單位，時候、時刻，量詞，計算部位、地點的單位，居住、止息，存在、置身於，交往、對待、共同生活，安頓、安排，裁制、懲罰，辦理，決斷，退隱自居，在家未出仕或未出嫁的，姓，如漢代有處興，，處
處之泰然 遇到事情時態度鎮定，神色自若，」也作「泰然居之」、「泰然處之」，坦然,心安,從容不迫，，處之泰然
處事 治理事務，辦事,做事，六書之一，描繪抽象事物的造字方法，參見「指事」條，，處事
處分 處置，處罰、懲治，吩咐，，處分
處境 所處的情境，環境,情況，，處境
處女 未出嫁且仍保持貞操的女子，比喻第一次，，處女
處方 醫師針對病人病症所開具之醫療處置單子，法律上規定除病人姓名、藥品名、用藥量、用法外，另當包含醫師姓名、證書執照號碼及簽章等內容，對策，，處方
處理 治理、解決，辦理,管理,解決,治理，，處理
處罰 懲罰，科罰,懲罰，，處罰
處處 各處、到處，隨地,隨處，，處處
虛心 謙退容物，心不自滿，謙虛,謙遜，心有所愧而膽怯，，虛心
虛擬 假定、假想，虛構，，虛擬
號 名稱、別名，命令，商店，物品的大小等級，標誌、標記，排定的次第，種、類，量詞，計算編定的人物數目的單位，樂團或軍隊所使用的喇叭， 軍號所吹出的各種規定號音，召喚，發出命令，宣稱、誇言，稱謂、稱呼，大叫，放聲大哭，風發出聲響，，號
號召 借某種名義，召集大眾合力完成任務，號令,呼吁,召喚，，號召
號哭 放聲大哭，悲啼,痛哭,號泣，，號哭
號子 代客買賣證券為業的證券行號，每家證券商都有一個代表號碼，大多依據設立先後順序排列，，號子
號碼 記數目的符號，，號碼
虧 缺陷、不完滿，損失、損害，耗損、減少，欠缺、缺少，辜負、對不起，毀壞，虛弱，難為、僥倖之詞，斥責或譏諷之詞，，虧
蚊子 動物名，雙翅目蚊科，形體細長，胸部有一對翅膀和三對細長的腳，雄蚊主食花蜜和植物汁液，雌蚊則多數以人畜的血液為食，卵產於水面，孵化為水生幼蟲孑孓，能傳染黃熱病、瘧疾、絲蟲病和登革熱，，蚊子
蛇 有鱗目蛇亞目爬行動物的總稱，約二千七百種，臺灣約產五十八種，體圓長，無四肢，有鱗，口大，舌細長而分叉，體色不一，有蛻皮現象，卵生或卵胎生，分有毒跟無毒二種，參見「蛇蛇」、「委蛇」等條，，蛇
蛋 鳥類和爬蟲類所生帶有硬殼的卵，受精之後可孵出小動物，形狀像蛋的東西，斥責或罵人的話，用以比喻人或動作，中國南方沿海少數民族之一，，蛋
蛋白質 一種含氮、氧、氫、碳、硫的有機化合物，由多種氨基酸組成的高分子聚合物，是構成生物體的最重要部分，可促進人體成長與維持健康，，蛋白質
蛋糕 用雞蛋、麵粉、糖、香料等和勻製成的糕點，，蛋糕
蜂蜜 蜜蜂採取花中甘液所釀成濃稠的蜜汁，可供食用和入藥，，蜂蜜
蜜 蜜蜂採取花中甘液所釀成的甜汁，甜美、動人的，，蜜
蜜蜂 泛指膜翅目蜜蜂科昆蟲，頭部有兩個大複眼和三個單眼，視力強，有一對能感受氣味的觸角，社會性昆蟲，居於蜂巢中，成員分工蜂、蜂王和雄蜂三級，工蜂與蜂王有毒刺，能螫人，，蜜蜂
蝦 動物名，節肢動物門甲殼綱，長尾，分頭、胸、腹三部，頭部有長短兩對觸鬚；胸部有步腳五對；腹部狹長分為數個環節，每一環節有橈腳一對，供游泳之用，生活於水中，種類頗多，均可食，參見「蝦蟆」條，，蝦
蝦子 動物名，甲殼綱十足目，近二千種，身長四至八公分，體半透明、側扁、腹部可彎曲，末端有尾扇，第二觸角較長，呈鞭狀，頭兩對步足變成螯，用以捕食及打鬥，腹肢用以游泳，卵或直接產於水中，或附於泳肢上，幼蟲經多次變態，才沉於水底生活，分布於海洋、湖泊、河川，，蝦子
蝴蝶 動物名，昆蟲綱鱗翅目，頭上有對複眼，二隻單眼，複眼間細長的觸角司感覺，頭下方的口器，可伸長吸食花蜜，胸部著生三對步行腳，兩對翅膀，生長週分為卵、幼蟲（毛蟲）、蛹及成蟲四個階段，種類繁多，約有九萬種，分布世界各地，也作「蚨蝶」、「胡蝶」，，蝴蝶
蝸牛 動物名，軟體動物門腹足綱，為一種有肺的軟體動物，外殼扁圓，頭有四個觸角，其二較長，尖端有眼，腹部兩端伸展而成足，雌雄同體，有害於植物，因行過所留的涎跡如篆文般，故也稱為「篆愁君」，，蝸牛
融化 消溶、溶化，溶化,熔化,融解，，融化
融合 融化匯合，合成一體，，融合
融洽 彼此間的感情和睦，和好,親睦，，融洽
螞蟻 泛指節肢動物門昆蟲綱膜翅目蟻科的動物，體小、長形，黑或褐色，頭大，觸角長，腹卵形，有一對複眼，一般行集團社會生活，有蟻后、工蟻、兵蟻之分，，螞蟻
蟬 動物名，同翅目蟬科，四翅薄而透明，雄蟬腹胸交界處有發聲器，收縮振動得以產生鳴聲，雌蟬則無鳴叫能力，幼蟲於地下挖洞穴居，以吸食植物根部的汁液為生，待幼蟲成熟，則爬上樹幹羽化，蟬形的裝飾品，繼續不斷，，蟬
蟲 昆蟲的總稱，古代對動物的通稱，如老虎稱為「大蟲」，蛇稱為「長蟲」，輕蔑他人的言語，姓，如漢代有蟲達，，蟲
蟲子 昆蟲的泛稱，依靠某事得利的人，，蟲子
蠟燭 用蠟或油脂製成的燭，多用於照明、喜慶或祭祀典禮，燭炬，，蠟燭
蠶 鱗翅目蠶蛾科和天蠶科昆蟲的通稱，能吐絲，以環節蠕動，胸腹及尾有六對腳，食桑  葉，自幼蟲成長，必蛻皮數次，每次三、四日，經三、四次後，作繭變蛹，化為蛾，養蠶，參見「蠶食」條，，蠶
蠻 中國南方種族的舊稱，強橫、不通情理，落後的、未開化的，強悍、粗野，很、挺、十分，，蠻
蠻橫 不講理，霸道,凶惡,野蠻，，蠻橫
血 高等動物體內脈管所含的紅色血液，從心臟流出，循環全身，有分配養分、輸送廢物，以營全身新陳代謝的功能，眼淚，二一四部首之一，用鮮血沾染，有血緣關係的，剛強、熱烈，(一)之讀音，，血
血型 人類的紅血球膜含有不同的多醣類抗元，即凝集元，故可就各人血清與紅血球相凝集的狀態，分人類血液為各種類型，如Ｏ型、Ａ型、Ｂ型、ＡＢ型，人類的血型由遺傳決定，血型原理的應用，有助於法醫學上親子關係的鑑定，及醫學上的輸血手術的實施，，血型
血壓 血液施於血管壁的壓力，心臟收縮時壓力較高，為收縮壓；放鬆時，血壓減小，為舒張壓，測量血壓可預防心臟血管類的疾病，正常成年人的收縮壓約在一一○至一四○，舒張壓約在七十至九十毫米水銀柱之間，，血壓
血汗 血液和汗水，比喻工作所用的精力，，血汗
血液 在動物血管系統中循環流動的液體，由血漿和血球合成，紅色，有黏性及鹹味，它能運送養分、氧氣給細胞，並輸出二氧化碳等廢物至排泄器官，並且調節體溫，製造抗體以抵抗疾病，低等動物的血液或不具顏色，或不貯於血管內，與高等動物不同，，血液
血管 動物體內運輸血液的管道，有動脈、靜脈、微血管三種，，血管
血跡 血液滴落或沾附於各種物體上的痕跡，通常可據以偵斷刑案，血印，，血跡
行 走、走路，往，移動、流動，流通，做、從事，實施，經歷，可以，道路，行書的簡稱，一種樂府和古詩的體裁，量詞，計算酌酒奉客的單位，姓，如漢代有行宏，二一四部首之一，能幹、幹練，不久、將要，且，行列，直列為行，橫排為列，兄弟姐妹長幼的次序，量詞，計算成排東西的單位，營業交易的機構，職業，表處所，用於人稱之後，二一四部首之一，行為舉止，參見「行行」、「樹行子」等條，，行
行人 在路上走的人，出外打仗或遠遊的人，使者的通稱，媒人，職官名，掌朝覲聘問，接待賓客之事，，行人
行使 使用、實行，使用，古代稱使者為「行使」，，行使
行列 直的稱行，橫的稱列，行列指排列的次第，隊伍，，行列
行動 行為、舉動，活動,舉動,舉止　1.步履,行徑,行為，走動，或指為達某一目標而有所作為，活動,舉動,舉止　1.步履,行徑,行為，，行動
行善 從事慈善救濟等義舉，」也作「行好」，，行善
行政 國家的政務，如內政、外交、教育、軍事、財政等，國家或團體基於維持統治上的需要，所進行的一種權力作用，公共機關業務的推行與管理，，行政
行星 依一定軌道繞行太陽的球形天體，其重力足以清空軌道上的其他天體，由於反射陽光而發光，依照軌道離太陽由近而遠，分別為水星、金星、地球、火星、木星、土星、天王星與海王星，繞行其他恆星周圍的類似天體，，行星
行李 行人、使者，出門時所攜帶的行裝，」也作「行具」、「行器」，行囊，，行李
行業 所從事職業的種類，如農、工、商、演藝等業，修行、道業，，行業
行為 基於個人的意志而具體表現於外的舉止動作，舉動﹑行動﹑行徑，，行為
行程 路程，旅程，上路、啟程，行李，，行程
行號 商行、公司，，行號
衍生 旁生，，衍生
街 城鎮中兩旁有商店，且較為熱鬧的道路，也泛指一般馬路，某種行業集中的商業區，，街
街坊 大街小巷，鄰居，，街坊
街道 供人車通行的道路，，街道
街頭 街上，陌頭，，街頭
衛星 凡環繞行星周圍運行的天體，稱為「衛星」，如月球為地球的衛星，人造衛星的簡稱，參見「人造衛星」條，附屬的，，衛星
衛生 泛指個人養生之道，及社會大眾追求健康的行為，清潔，，衛生
衛生紙 一種質料薄韌、供衛生需要而使用的紙，，衛生紙
衝 交通要道，朝向前直行，直著向上頂，突擊，碰撞、冒犯，因、看，向、對，氣味強烈，勇猛，激烈、無禮，，衝
衝動 因情緒過於激動，而訴諸非理性的心理活動，激動，勾引、誘惑，衝撞撼動，，衝動
衝擊 衝向敵人進行攻擊，打擊，衝撞碰擊，嚴重影響，大陸地區指強烈挑戰，，衝擊
衝突 深入敵軍而攻擊，衝撞、碰撞，因意見不同而起爭執，水流衝擊堤岸，沖破，，衝突
衡量 度量東西輕重的器具，考慮、思量、斟酌，量度,權衡，，衡量
衣服 泛指可以穿著的各種衣裳、服裝，衣著,衣裳，，衣服
衣櫃 存放衣物的櫃子，，衣櫃
衣裳 古時上衣稱衣，下裙稱裳，故衣服合稱為「衣裳」，衣服,衣著，，衣裳
表 外衣，標識，事物外在的一面，模範、榜樣，古代臣子呈給帝王的一種奏章，如三國蜀諸葛亮的〈出師表〉、李密的〈陳情表〉，石碑，墓表、墓誌，如宋代歐陽修的〈瀧岡阡表〉，分格或分項以列記事物的文件，人除正名以外的其他字號， 計時器或計量器，」也作「錶」， 表親， 泛指行為不檢點的婦女，也多專指妓女， 姓，如明代有表貢，加上外衣，顯揚、獎勵，傳達、宣布、告訴，上奏章奏明某事，上表推薦，鑒察，裝潢修補書畫，，表
表情 由臉部的表現和身體的動作，所表達的喜怒、哀樂、好惡等情感，神色，，表情
表揚 公開表彰顯揚，表彰,讚揚，，表揚
表明 對人清楚的表示自己意見、情感或事情的真相，標明﹑表白﹑證明﹑說明，，表明
表格 分格、分類以填記事物，俾便閱覽或統計的一種格式，，表格
表演 戲劇、舞蹈、雜技等的演出，扮演﹑獻技﹑獻藝﹑演出，把情節或技藝以公開方式表現，用動作、方法，把事情的內容或特點一一示範演出，指做事不切實際，像演戲一般，，表演
表現 把思想、感情、生活經歷等內情顯露出來，表達﹑表露﹑表示﹑發揮﹑體現﹑吐露﹑顯示﹑再現，，表現
表白 對人說明自己的意見、情感或事情的真象，」表明﹑表示﹑剖白﹑剖明，念誦，曲藝上指演員用第三人稱以說白方式敘述事物情景和描寫人物特色，，表白
表示 表明顯示，表白﹑表明﹑表達﹑表現﹑吐露﹑顯示﹑暗示，所顯現的意義，發表，，表示
表達 將心中的思想藉語文或行為的方式傳遞給別人知道，或傳遞訊息，表明﹑表現﹑表示，，表達
表面 物體跟外界接觸的部分，皮相,外表,外貌,外面，事物的外在現象或非實質的部分，，表面
衰退 逐漸衰弱，闌珊，經濟景氣循環中所得、產出與就業往下降，而資本投資與消費顯著減少的現象，，衰退
衷心 出自於內心，，衷心
袋 裝東西的器物，具有容納或盛裝作用的部位或器具，量詞，計算袋裝物的單位，，袋
袋子 盛裝物品的袋囊，質料有塑膠、皮革、布、紙等，，袋子
被 被子，睡眠時蓋在身上的東西，姓，如春秋時鄭國有被瞻、吳國有被離，覆蓋，蒙受、遭遇，及，達到，配上，表被動性，用在動詞前構成被動詞組，分散，加衣於身而不束帶，，被
被動 受外力影響才發生行動，，被動
被子 睡覺時蓋在身上的寢具，一般以棉絮縫在布內，外加被套，，被子
裁判 依競賽規則，對競賽成績或競賽中所發生的問題作公平的處置或評判，依競賽規則處置競賽中所發生的問題及評斷勝負的人，法律上指審判機關依事實和法律，對當事人或訴訟關係人所作的決定，可分為判決及裁定，，裁判
裁員 削減工作崗位上閒散不必要的人員，裁人，，裁員
裁減 刪減、削減，淘汰,減少,裁汰，，裁減
裁縫 裁剪縫製衣服，縫製衣服的人，，裁縫
裂 裁剪後剩餘的布帛，割、撕、破，分散，分配、劃分，，裂
裙子 一種圍在腰部以下的服裝，古時候男女都穿，後來多為女子服飾，，裙子
補 將破裂、破損的地方修好，添足所缺少的，填入空缺的職位、名次等，助益、裨益，補救、彌補，營養的食品，姓，如唐代有補珍珠，，補
補償 補足或償還，補助﹑補充﹑補足﹑彌補，，補償
補充 增補，使原來不足之處得以充足，補助,補償,補足,彌補,添補,增補，，補充
補助 補益、幫助，補償﹑補充﹑彌補﹑輔助﹑津貼，，補助
補救 彌補過失，矯正差錯，彌補﹑挽救，，補救
補給 供應、補充不足的東西，大多用於軍事，，補給
補習 為了充實某種知識或技能，利用下班閒暇或課外學習，，補習
補習班 短期補習學校，由學校、機關、團體或私人辦理，分技藝補習班及文理補習班二類；修業期限為一個月至一年六個月不等，，補習班
補課 老師或學生因事放假，事後所進行的課程補授，，補課
裝 行李、行囊，衣服、服飾，書籍、字畫等的釘定樣式，物品包裹、盛放的方式，包裹，修飾、打扮，假作，配置、安放、安設，，裝
裝備 設置、配備，攜帶、裝置的各項物品，，裝備
裝潢 古代以黃櫱汁染的潢紙裝裱書畫，故稱裝修書畫為「裝潢」，也作「裝背」，布置、裝飾，室內的設計或擺設，，裝潢
裝置 安裝配置，」也作「裝配」，機器、儀器或設備中的零件，，裝置
裝運 裝載、輸送貨物，，裝運
裝配 安裝配置，」也作「裝置」，安裝，，裝配
裝飾 修飾、打扮，粉飾,打扮，增加外表美觀的物品，，裝飾
裡 衣服內層的襯布，內部，指一定的空間範圍，指一定的時間範圍，句末語氣詞，無義，，裡
裡邊 內部，』」也作「裡面」、「裡頭」，，裡邊
裡面 內部，」也作「裡邊」、「裡頭」，內裡，，裡面
裡頭 內部，舊稱宮內，，裡頭
裹 纏繞、包紮，包羅、囊括，包封的物品，，裹
製作 將原料或粗製品做成器物或精製品，也作「製造」，製造，，製作
製品 經加工製造後，能直接使用的物品，成品，，製品
製造 將原料或粗製品做成器物或精製品，也作「製作」，建造,製作，，製造
複習 溫習已學習的課程，也作「復習」，，複習
複製 仿製原件的藝術品或書籍，，複製
複雜 不單純而繁複，龐雜,曲折，，複雜
襪子 可穿在腳上，用以保護或保暖的東西，通常是用棉、毛、絲織品或合成纖維等所製成，，襪子
襯衫 穿在西裝裡面的上衣，亦可單獨穿用，，襯衫
